"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","cons.price.idx","cons.conf.idx","nr.employed","y"
"12958",43,"blue-collar","divorced","basic.9y","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"4114",31,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","mon",6,999,0,"nonexistent",93.994,-36.4,5191,"no"
"28006",34,"admin.","single","university.degree","no","no","yes","cellular","apr","wed",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"13570",25,"admin.","single","high.school","no","no","yes","cellular","jul","thu",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"3505",42,"technician","married","high.school","no","no","no","telephone","may","thu",6,999,0,"nonexistent",93.994,-36.4,5191,"no"
"10880",32,"blue-collar","married","high.school","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"2183",35,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon",5,999,0,"nonexistent",93.994,-36.4,5191,"no"
"35439",36,"admin.","married","high.school","no","no","no","cellular","may","mon",3,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"1726",51,"blue-collar","married","basic.9y","no","no","yes","telephone","may","fri",1,999,0,"nonexistent",93.994,-36.4,5191,"yes"
"28049",49,"admin.","married","basic.6y","no","yes","no","cellular","apr","thu",3,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"33765",33,"technician","single","university.degree","no","yes","no","cellular","may","wed",3,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"21087",36,"technician","married","professional.course","no","yes","no","cellular","aug","thu",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"39287",31,"unemployed","single","university.degree","no","yes","no","cellular","mar","tue",1,10,1,"success",93.369,-34.8,5008.7,"yes"
"11860",47,"admin.","married","basic.9y","no","yes","no","telephone","jun","fri",7,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"36883",34,"admin.","married","university.degree","no","no","no","telephone","jun","wed",4,999,0,"nonexistent",92.963,-40.8,5076.2,"no"
"36998",28,"admin.","single","university.degree","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",92.469,-33.6,5076.2,"no"
"20330",50,"management","married","university.degree","no","yes","yes","cellular","aug","mon",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"30483",59,"retired","married","basic.6y","no","no","no","cellular","may","mon",2,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"7704",34,"admin.","married","university.degree","no","no","no","telephone","may","fri",4,999,0,"nonexistent",93.994,-36.4,5191,"no"
"17596",47,"services","married","basic.6y","no","yes","no","cellular","jul","mon",10,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"13298",39,"technician","married","professional.course","no","yes","no","telephone","jul","wed",8,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"29973",56,"self-employed","married","university.degree","no","no","no","cellular","apr","tue",2,999,0,"nonexistent",93.075,-47.1,5099.1,"yes"
"30755",44,"services","married","high.school","no","yes","no","cellular","may","tue",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"8442",30,"admin.","single","high.school","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"9171",57,"retired","married","basic.4y","no","no","no","telephone","jun","fri",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"34852",44,"admin.","married","high.school","no","yes","yes","cellular","may","fri",4,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"21492",32,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"14488",40,"admin.","single","high.school","no","yes","no","cellular","jul","tue",4,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"30767",39,"blue-collar","married","basic.6y","no","yes","yes","cellular","may","tue",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"22944",31,"technician","divorced","high.school","no","no","no","cellular","aug","mon",5,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"2787",45,"services","married","high.school","no","no","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"15022",54,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"18570",42,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","thu",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"37001",34,"admin.","married","high.school","no","no","no","cellular","jul","fri",7,999,0,"nonexistent",92.469,-33.6,5076.2,"no"
"19063",45,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"11930",54,"technician","married","high.school","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"30870",58,"services","divorced","high.school","no","yes","no","cellular","may","tue",4,999,2,"failure",92.893,-46.2,5099.1,"no"
"24328",40,"admin.","married","university.degree","no","no","no","cellular","nov","mon",1,999,0,"nonexistent",93.2,-42,5195.8,"yes"
"21209",31,"admin.","single","university.degree","no","yes","no","cellular","aug","mon",7,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"34278",34,"blue-collar","divorced","basic.9y","no","yes","no","cellular","may","thu",6,999,1,"failure",92.893,-46.2,5099.1,"no"
"8246",50,"services","married","high.school","no","yes","no","telephone","jun","tue",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"23725",34,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",5,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"18645",31,"services","single","high.school","no","yes","no","cellular","jul","thu",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"26107",36,"technician","married","professional.course","no","yes","no","telephone","nov","wed",7,999,0,"nonexistent",93.2,-42,5195.8,"no"
"33854",33,"services","single","high.school","no","yes","no","cellular","may","wed",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"9717",34,"management","single","high.school","no","yes","no","telephone","jun","mon",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"38954",81,"housemaid","divorced","basic.4y","no","yes","no","cellular","nov","mon",6,999,0,"nonexistent",92.649,-30.1,5017.5,"no"
"32276",40,"management","single","university.degree","no","no","yes","cellular","may","fri",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"538",33,"blue-collar","single","basic.4y","no","no","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"26756",51,"admin.","divorced","university.degree","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"1739",36,"unemployed","single","basic.4y","no","no","no","telephone","may","fri",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"4193",34,"blue-collar","single","basic.9y","no","no","no","telephone","may","mon",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"23223",38,"technician","married","high.school","no","no","no","cellular","aug","tue",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"22301",31,"technician","single","professional.course","no","no","no","cellular","aug","thu",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"13122",35,"management","married","university.degree","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"16026",41,"services","divorced","high.school","no","yes","no","cellular","jul","tue",5,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"17613",56,"blue-collar","divorced","basic.6y","no","no","no","telephone","jul","mon",3,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"14614",41,"technician","married","university.degree","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"11382",50,"technician","married","basic.6y","no","yes","no","telephone","jun","fri",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"12255",57,"housemaid","divorced","basic.6y","no","yes","no","telephone","jul","thu",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"20555",34,"technician","single","university.degree","no","no","no","cellular","aug","tue",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"38186",45,"blue-collar","married","professional.course","no","no","no","cellular","oct","tue",1,999,0,"nonexistent",92.431,-26.9,5017.5,"no"
"37602",72,"retired","divorced","basic.4y","no","no","no","cellular","aug","mon",1,999,0,"nonexistent",92.201,-31.4,5076.2,"no"
"35915",36,"admin.","married","high.school","no","no","no","cellular","may","mon",1,999,0,"nonexistent",92.893,-46.2,5099.1,"yes"
"22789",56,"blue-collar","married","basic.4y","no","no","no","cellular","aug","mon",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"31442",30,"services","single","high.school","no","yes","no","cellular","may","wed",3,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"40289",60,"retired","married","professional.course","no","yes","yes","cellular","jul","thu",4,6,2,"success",94.215,-40.3,4991.6,"no"
"31993",47,"management","married","university.degree","no","yes","no","cellular","may","thu",6,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"26569",45,"unemployed","married","basic.9y","no","yes","no","cellular","nov","thu",5,999,0,"nonexistent",93.2,-42,5195.8,"no"
"28023",30,"admin.","married","university.degree","no","no","no","cellular","apr","thu",3,999,0,"nonexistent",93.075,-47.1,5099.1,"yes"
"30249",34,"technician","married","professional.course","no","yes","no","cellular","apr","thu",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"16456",44,"management","married","university.degree","no","yes","yes","telephone","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"22750",37,"admin.","single","university.degree","no","no","yes","cellular","aug","mon",8,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"10887",51,"blue-collar","divorced","basic.9y","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"4027",36,"admin.","married","high.school","no","no","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"37135",21,"student","single","high.school","no","no","no","cellular","aug","tue",1,999,1,"failure",92.201,-31.4,5076.2,"no"
"3516",49,"blue-collar","married","basic.6y","no","yes","no","telephone","may","thu",5,999,0,"nonexistent",93.994,-36.4,5191,"no"
"7293",55,"technician","married","university.degree","no","yes","no","telephone","may","thu",9,999,0,"nonexistent",93.994,-36.4,5191,"no"
"24304",46,"technician","married","professional.course","no","yes","no","cellular","nov","mon",1,999,1,"failure",93.2,-42,5195.8,"no"
"5534",33,"services","married","professional.course","no","no","no","telephone","may","mon",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"11613",36,"admin.","married","university.degree","no","yes","no","telephone","jun","fri",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"4386",32,"services","married","high.school","no","no","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"6927",31,"blue-collar","married","basic.9y","no","yes","no","telephone","may","thu",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"23906",32,"admin.","married","university.degree","no","no","no","cellular","aug","fri",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"16426",32,"blue-collar","divorced","basic.6y","no","yes","no","telephone","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"25619",38,"unemployed","married","university.degree","no","yes","no","cellular","nov","wed",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"2464",58,"blue-collar","married","basic.4y","no","no","yes","telephone","may","tue",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"23800",33,"technician","single","university.degree","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"7870",55,"entrepreneur","divorced","university.degree","no","yes","yes","telephone","jun","mon",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"15874",29,"admin.","single","high.school","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"6437",45,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"24177",35,"unemployed","married","basic.4y","no","yes","no","cellular","nov","mon",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"5635",34,"services","divorced","basic.9y","no","no","yes","telephone","may","mon",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"31472",37,"self-employed","divorced","university.degree","no","no","no","cellular","may","wed",3,999,1,"failure",92.893,-46.2,5099.1,"no"
"20670",58,"admin.","married","university.degree","no","no","no","cellular","aug","wed",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"2423",36,"blue-collar","married","high.school","no","no","yes","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"21906",53,"admin.","married","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"2120",38,"technician","married","professional.course","no","no","no","telephone","may","mon",4,999,0,"nonexistent",93.994,-36.4,5191,"no"
"6922",58,"blue-collar","married","basic.4y","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"24483",36,"self-employed","single","university.degree","no","yes","no","cellular","nov","mon",2,4,1,"success",93.2,-42,5195.8,"no"
"5494",49,"admin.","single","high.school","no","no","no","telephone","may","mon",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"9688",45,"technician","married","high.school","no","yes","no","telephone","jun","mon",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"28535",23,"student","single","basic.4y","no","yes","no","cellular","apr","wed",4,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"7587",38,"admin.","divorced","high.school","no","yes","no","telephone","may","fri",5,999,0,"nonexistent",93.994,-36.4,5191,"no"
"26097",54,"blue-collar","married","basic.6y","no","no","no","cellular","nov","wed",5,999,1,"failure",93.2,-42,5195.8,"no"
"20254",55,"admin.","married","professional.course","no","no","no","cellular","aug","mon",4,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"26082",33,"services","married","high.school","no","yes","no","cellular","nov","wed",3,999,0,"nonexistent",93.2,-42,5195.8,"no"
"36652",31,"management","single","university.degree","no","no","no","cellular","jun","thu",1,999,0,"nonexistent",92.963,-40.8,5076.2,"no"
"37418",38,"admin.","married","university.degree","no","no","no","cellular","aug","wed",1,4,1,"success",92.201,-31.4,5076.2,"no"
"9569",46,"self-employed","divorced","basic.9y","no","yes","no","telephone","jun","mon",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"17656",50,"admin.","married","university.degree","no","no","no","telephone","jul","mon",17,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"19413",48,"admin.","married","high.school","no","no","no","cellular","aug","wed",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"19472",30,"technician","single","university.degree","no","no","no","cellular","aug","thu",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"23344",53,"admin.","married","basic.4y","no","no","no","cellular","aug","wed",5,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"16500",44,"admin.","married","basic.6y","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"9844",28,"admin.","married","university.degree","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"12560",34,"services","married","basic.9y","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"64",42,"blue-collar","married","basic.6y","no","no","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"40640",89,"retired","divorced","basic.4y","no","yes","no","cellular","sep","tue",1,999,0,"nonexistent",94.199,-37.5,4963.6,"yes"
"5555",52,"admin.","married","basic.6y","no","no","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"36840",34,"blue-collar","married","basic.4y","no","yes","no","cellular","jun","mon",2,999,0,"nonexistent",92.963,-40.8,5076.2,"no"
"1411",38,"entrepreneur","married","basic.6y","no","yes","yes","telephone","may","thu",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"33301",47,"admin.","divorced","high.school","no","yes","no","cellular","may","tue",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"34701",36,"blue-collar","married","basic.9y","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"4028",32,"admin.","married","university.degree","no","yes","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"7181",34,"blue-collar","married","basic.9y","no","yes","no","telephone","may","thu",5,999,0,"nonexistent",93.994,-36.4,5191,"no"
"4885",29,"technician","single","university.degree","no","no","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"38098",60,"retired","divorced","high.school","no","no","no","cellular","sep","wed",2,999,2,"failure",92.379,-29.8,5017.5,"no"
"27654",48,"blue-collar","married","basic.4y","no","no","no","cellular","nov","fri",3,999,0,"nonexistent",93.2,-42,5195.8,"no"
"362",57,"management","married","university.degree","no","yes","no","telephone","may","tue",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"30774",43,"blue-collar","married","basic.9y","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"10035",36,"blue-collar","married","basic.6y","no","yes","no","telephone","jun","thu",2,999,0,"nonexistent",94.465,-41.8,5228.1,"yes"
"30107",38,"technician","married","professional.course","no","yes","no","cellular","apr","mon",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"28089",50,"admin.","married","professional.course","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"8156",32,"services","married","high.school","no","yes","no","telephone","jun","tue",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"27358",34,"admin.","married","university.degree","no","yes","yes","cellular","nov","fri",3,999,0,"nonexistent",93.2,-42,5195.8,"no"
"28415",37,"technician","divorced","professional.course","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"18987",54,"technician","married","university.degree","no","yes","no","telephone","aug","mon",2,999,0,"nonexistent",93.444,-36.1,5228.1,"yes"
"23432",50,"unemployed","married","basic.9y","no","no","yes","cellular","aug","wed",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"29204",44,"entrepreneur","married","university.degree","no","yes","no","cellular","apr","fri",2,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"19366",56,"retired","married","basic.4y","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"1820",44,"blue-collar","single","basic.6y","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,5191,"yes"
"26892",46,"blue-collar","married","basic.4y","no","yes","yes","cellular","nov","thu",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"23635",48,"admin.","single","university.degree","no","no","no","cellular","aug","thu",4,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"28393",41,"technician","married","university.degree","no","no","yes","cellular","apr","thu",1,999,1,"failure",93.075,-47.1,5099.1,"no"
"15490",33,"management","single","university.degree","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"190",34,"admin.","married","university.degree","no","yes","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"25886",49,"blue-collar","divorced","basic.9y","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"1705",34,"technician","single","professional.course","no","no","no","telephone","may","fri",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"16277",48,"entrepreneur","single","university.degree","no","no","yes","cellular","jul","tue",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"174",42,"admin.","single","university.degree","no","no","no","telephone","may","mon",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"14850",50,"retired","married","basic.4y","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"14704",44,"blue-collar","married","basic.9y","no","no","no","telephone","jul","tue",5,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"24891",37,"blue-collar","married","high.school","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"17450",44,"services","divorced","high.school","no","yes","yes","cellular","jul","mon",1,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"39390",56,"admin.","single","university.degree","no","no","no","cellular","mar","wed",1,5,1,"success",93.369,-34.8,5008.7,"yes"
"23505",30,"technician","single","university.degree","no","yes","no","cellular","aug","thu",3,999,0,"nonexistent",93.444,-36.1,5228.1,"yes"
"28660",27,"services","single","university.degree","no","yes","no","cellular","apr","thu",1,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"21933",36,"technician","single","university.degree","no","no","no","cellular","aug","wed",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"26544",33,"blue-collar","married","basic.9y","no","no","yes","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"16852",48,"blue-collar","married","basic.4y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"17058",31,"admin.","divorced","high.school","no","no","yes","cellular","jul","fri",2,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"26353",38,"management","married","university.degree","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"8375",40,"blue-collar","married","basic.9y","no","yes","yes","telephone","jun","tue",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"30092",36,"management","married","university.degree","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",93.075,-47.1,5099.1,"no"
"19762",38,"technician","divorced","professional.course","no","yes","no","cellular","aug","fri",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"31788",40,"management","married","university.degree","no","no","no","cellular","may","thu",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"6549",25,"management","single","university.degree","no","yes","no","telephone","may","wed",4,999,0,"nonexistent",93.994,-36.4,5191,"no"
"21820",36,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"24360",37,"admin.","married","high.school","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"10796",55,"housemaid","married","university.degree","no","yes","no","telephone","jun","tue",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"34798",28,"blue-collar","married","basic.9y","no","yes","no","cellular","may","thu",3,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"29880",35,"services","married","basic.9y","no","yes","no","telephone","apr","mon",4,999,2,"failure",93.075,-47.1,5099.1,"no"
"36881",24,"admin.","single","university.degree","no","yes","no","cellular","jun","wed",7,999,1,"failure",92.963,-40.8,5076.2,"no"
"10383",52,"entrepreneur","married","university.degree","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"1345",30,"admin.","divorced","high.school","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"30792",46,"blue-collar","married","high.school","no","no","yes","cellular","may","tue",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"10531",50,"services","single","basic.4y","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"26397",30,"admin.","single","university.degree","no","yes","no","cellular","nov","thu",1,999,1,"failure",93.2,-42,5195.8,"no"
